,feed,dmi.pct,aez,aez.long,scen,scen.lab
114,Native grassland,79,SA,Semi-arid,Rhodes intensification,"S4: Rhodes
intensification"
34,Maize residue,0,SA,Semi-arid,Rhodes intensification,"S4: Rhodes
intensification"
44,Rhodes grass,15,SA,Semi-arid,Rhodes intensification,"S4: Rhodes
intensification"
54,Maize concentrate,6,SA,Semi-arid,Rhodes intensification,"S4: Rhodes
intensification"
64,Native grassland,43,THSH,Trop. High. Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
84,Maize residue,6,THSH,Trop. High. Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
94,Rhodes grass,50,THSH,Trop. High. Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
104,Maize concentrate,1,THSH,Trop. High. Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
115,Native grassland,41,SH,Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
134,Maize residue,0.666666667,SH,Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
144,Rhodes grass,48.66666667,SH,Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
154,Maize concentrate,9.666666667,SH,Sub-humid,Rhodes intensification,"S4: Rhodes
intensification"
164,Native grassland,33,THH,Trop. High. Humid,Rhodes intensification,"S4: Rhodes
intensification"
184,Maize residue,24,THH,Trop. High. Humid,Rhodes intensification,"S4: Rhodes
intensification"
194,Rhodes grass,42,THH,Trop. High. Humid,Rhodes intensification,"S4: Rhodes
intensification"
204,Maize concentrate,1,THH,Trop. High. Humid,Rhodes intensification,"S4: Rhodes
intensification"
116,Native grassland,64,SA,Semi-arid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
35,Maize residue,7.5,SA,Semi-arid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
45,Rhodes grass,15,SA,Semi-arid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
55,Maize concentrate,13.5,SA,Semi-arid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
65,Native grassland,28,THSH,Trop. High. Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
85,Maize residue,13.5,THSH,Trop. High. Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
95,Rhodes grass,50,THSH,Trop. High. Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
105,Maize concentrate,8.5,THSH,Trop. High. Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
117,Native grassland,26,SH,Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
135,Maize residue,8.166666667,SH,Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
145,Rhodes grass,48.66666667,SH,Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
155,Maize concentrate,17.16666667,SH,Sub-humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
165,Native grassland,18,THH,Trop. High. Humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
185,Maize residue,31.5,THH,Trop. High. Humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
195,Rhodes grass,42,THH,Trop. High. Humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
205,Maize concentrate,8.5,THH,Trop. High. Humid,Maize intensification + Rhodes expansion-intensification,"S5: S2 + S3
+ S4"
